species_name,museum_name,location,state,country,n_records,sex,subspecies,notes
Cacatua sanguinea,WAM,Murchison River,Western Australia,Australia,1,f,,
Cacatua sanguinea,WAM,"Strawberry Bridge, Irwin River",Western Australia,Australia,2,f,,
Cacatua sanguinea,WAM,Mingenew,Western Australia,Australia,2,f,,
Cacatua sanguinea,WAM,Coorow,Western Australia,Australia,1,f,,
Cacatua sanguinea,WAM,Three Springs,Western Australia,Australia,1,f,,
Cacatua sanguinea,WAM,Mingenew,Western Australia,Australia,4,m,,
Cacatua sanguinea,WAM,Three Springs,Western Australia,Australia,6,m,,"3rd record: A17002, ? hybrid reddest bird in wheatbelt series, bill protruding forward"
Cacatua sanguinea,WAM,Coorow,Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,Carnamah,Carnamah,Australia,1,m,,
Cacatua sanguinea,WAM,Three Springs,Carnamah,Australia,3,f,,"1st record: A17049, hybrid? bill tip broken but projects rather forward"
Cacatua sanguinea,ANWC,Little Murray River,Victoria,Australia,2,f,,
