electorate,electorate_records.x,electorate_spp,taxonConceptID,species,kingdom,phlum,count,electorate_records.y,prop_obs,z_score,scientific_name,scientific_name_authorship,rank,match_type,phylum,class,order,family,genus,vernacular_name,issues,state
Farrer,132839,459,urn:lsid:biodiversity.org.au:afd.taxon:eb28b5f7-89b6-48d1-a9b1-02287fa9fc65,Crinia parinsignifera,Animalia,Chordata,2161,132839,0.016267813,6.300537072,Crinia parinsignifera,"Main, 1957",species,taxonIdMatch,Chordata,Amphibia,Anura,Myobatrachidae,Crinia,Eastern Sign-bearing Froglet,noIssue,NSW
Fenner,88859,374,urn:lsid:biodiversity.org.au:afd.taxon:e194765d-3b23-4fda-a1c7-860b6445fa70,Litoria verreauxii,Animalia,Chordata,77,88859,0.000866541,3.169759759,Litoria verreauxii verreauxii,"(Duméril, 1853)",subspecies,taxonIdMatch,Chordata,Amphibia,Anura,Hylidae,Litoria,Verreaux's Tree Frog,noIssue,ACT
Fisher,62522,463,urn:lsid:biodiversity.org.au:afd.taxon:44d3845a-930d-4523-8876-ca11fd6b6456,Mixophyes fasciolatus,Animalia,Chordata,333,62522,0.005326125,4.153436699,Mixophyes fasciolatus,"Günther, 1864",species,taxonIdMatch,Chordata,Amphibia,Anura,Myobatrachidae,Mixophyes,Great Barred Frog,noIssue,QLD
Flinders,46399,370,urn:lsid:biodiversity.org.au:afd.taxon:ce0c1289-1ba8-4565-8d74-70273db12059,Notolabrus tetricus,Animalia,Chordata,17,46399,0.000366387,2.372442873,Notolabrus tetricus,"(Richardson, 1840)",species,taxonIdMatch,Chordata,Actinopterygii,Perciformes,Labridae,Notolabrus,Blue-throated Wrasse,noIssue,VIC
Flynn,56724,881,urn:lsid:biodiversity.org.au:afd.taxon:04944a16-4ce1-44c5-a158-9857d9fb10a3,Notamacropus parryi,Animalia,Chordata,67,56724,0.001181158,3.656665638,Notamacropus parryi,"(Bennett, 1835)",species,taxonIdMatch,Chordata,Mammalia,Diprotodontia,Macropodidae,Notamacropus,Whiptail Wallaby,noIssue,QLD
Forde,39629,274,urn:lsid:biodiversity.org.au:afd.taxon:fa5feddf-ac78-4032-8b64-855de0baf06b,Ardea intermedia,Animalia,Chordata,452,39629,0.011405789,2.545687734,Ardea (Mesophoyx) intermedia,"Wagler, 1829",species,taxonIdMatch,Chordata,Aves,Ciconiiformes,Ardeidae,Ardea,Intermediate Egret,noIssue,QLD
Forrest,29351,326,urn:lsid:biodiversity.org.au:afd.taxon:1f13c782-e388-48b4-916c-d1aa2c96af58,Stipiturus malachurus,Animalia,Chordata,104,29351,0.003543321,3.970679698,Stipiturus malachurus,"(Shaw, 1798)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Maluridae,Stipiturus,Southern Emu-wren,noIssue,WA
Fowler,1882,154,urn:lsid:biodiversity.org.au:afd.taxon:f2ecb3e3-a6e2-45cc-a986-716a69eec650,Chalinolobus gouldii,Animalia,Chordata,31,1882,0.016471838,5.202607403,Chalinolobus gouldii,"(J.E. Gray, 1841)",species,taxonIdMatch,Chordata,Mammalia,Chiroptera,Vespertilionidae,Chalinolobus,Gould's Wattled Bat,noIssue,NSW
Franklin,60207,215,urn:lsid:biodiversity.org.au:afd.taxon:0dae8cbd-54cc-4abd-a78d-4e24f359e136,Cacomantis pallidus,Animalia,Chordata,315,60207,0.00523195,5.846235731,Cacomantis (Vidgenia) pallidus,"(Latham, 1801)",species,taxonIdMatch,Chordata,Aves,Cuculiformes,Cuculidae,Cacomantis,Pallid Cuckoo,noIssue,TAS
Fraser,13934,167,urn:lsid:biodiversity.org.au:afd.taxon:8f1c6d04-ccf5-42d6-a969-6abfc5ca3887,Gallinula tenebrosa,Animalia,Chordata,506,13934,0.036314052,3.278804199,Gallinula (Gallinula) tenebrosa,"Gould, 1846",species,taxonIdMatch,Chordata,Aves,Gruiformes,Rallidae,Gallinula,Dusky Moorhen,noIssue,VIC
Fremantle,38031,360,urn:lsid:biodiversity.org.au:afd.taxon:89a74527-c98b-4ba7-a5ce-aad380861621,Tadorna tadornoides,Animalia,Chordata,805,38031,0.021166943,3.362218831,Tadorna (Casarca) tadornoides,"(Jardine & Selby, 1828)",species,taxonIdMatch,Chordata,Aves,Anseriformes,Anatidae,Tadorna,Australian Shelduck,noIssue,WA
Gellibrand,41982,249,urn:lsid:biodiversity.org.au:afd.taxon:75106fa7-7d65-4724-814d-dce6306c79d9,Calidris acuminata,Animalia,Chordata,366,41982,0.008718022,3.540538654,Calidris (Erolia) acuminata,"(Horsfield, 1821)",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Sharp-tailed Sandpiper,noIssue,VIC
Gilmore,195298,587,urn:lsid:biodiversity.org.au:afd.taxon:22772c0f-b270-447c-9063-557e7b411f1e,Myliobatis tenuicaudatus,Animalia,Chordata,724,195298,0.003707155,4.559705564,Myliobatis tenuicaudatus,"Hector, 1877",species,taxonIdMatch,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Myliobatis,Eagle Ray,noIssue,NSW
Gippsland,126267,489,urn:lsid:biodiversity.org.au:afd.taxon:69c8164e-e5ff-4d44-adef-6a8c50cd14cc,Tyto tenebricosa,Animalia,Chordata,134,126267,0.001061243,4.217645516,Tyto (Megastrix) tenebricosa,"(Gould, 1845)",species,taxonIdMatch,Chordata,Aves,Strigiformes,Tytonidae,Tyto,Sooty Owl,noIssue,VIC
Goldstein,9498,177,urn:lsid:biodiversity.org.au:afd.taxon:803a6245-e23d-444c-a2ac-4b8a09e69c3a,Thalasseus bergii,Animalia,Chordata,333,9498,0.035060013,6.45706268,Thalasseus bergii,"(Lichtenstein, 1823)",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Crested Tern,noIssue,VIC
Gorton,2628,152,urn:lsid:biodiversity.org.au:afd.taxon:255f7bee-4487-4996-8e48-e7efb1631c2b,Aquila audax,Animalia,Chordata,28,2628,0.01065449,3.960876701,Aquila (Uroaetus) audax,"(Latham, 1801)",species,taxonIdMatch,Chordata,Aves,Falconiformes,Accipitridae,Aquila,Wedge-tailed Eagle,noIssue,VIC
Grayndler,3956,155,urn:lsid:biodiversity.org.au:afd.taxon:4507ef22-47ac-43ef-9b63-f1a72d2cbac2,Cryptoblepharus pulcher,Animalia,Chordata,11,3956,0.002780586,4.917868284,Cryptoblepharus pulcher,"(Sternfeld, 1918)",species,taxonIdMatch,Chordata,Reptilia,Squamata,Scincidae,Cryptoblepharus,Elegant Snake-eyed Skink,noIssue,NSW
Greenway,2863,180,urn:lsid:biodiversity.org.au:afd.taxon:c1d2d6c3-1123-4461-8c07-3254ea76f391,Pseudechis porphyriacus,Animalia,Chordata,25,2863,0.008732099,4.815603307,Pseudechis porphyriacus,"(Shaw, 1794)",species,taxonIdMatch,Chordata,Reptilia,Squamata,Elapidae,Pseudechis,Red-bellied Black Snake,noIssue,NSW
Grey,80804,644,urn:lsid:biodiversity.org.au:afd.taxon:c2056f1b-fcde-45b9-904b-1cab280368d1,Canis familiaris,Animalia,Chordata,316,80804,0.003910697,6.41133445,Canis familiaris,"Linnaeus, 1758",species,taxonIdMatch,Chordata,Mammalia,Carnivora,Canidae,Canis,Dingo,noIssue,SA
Griffith,35338,219,urn:lsid:biodiversity.org.au:afd.taxon:21686993-4d8f-4ae5-8f81-017c8528c6d5,Trichoglossus chlorolepidotus,Animalia,Chordata,975,35338,0.027590696,4.39725697,Trichoglossus chlorolepidotus,"(Kuhl, 1820)",species,taxonIdMatch,Chordata,Aves,Psittaciformes,Psittacidae,Trichoglossus,Scaly-breasted Lorikeet,noIssue,QLD
Groom,33831,315,urn:lsid:biodiversity.org.au:afd.taxon:89f22850-0aa0-4278-ad58-983de7f97890,Falco subniger,Animalia,Chordata,38,33831,0.00112323,4.722178455,Falco (Hierofalco) subniger,"G.R. Gray, 1843",species,taxonIdMatch,Chordata,Aves,Falconiformes,Falconidae,Falco,Black Falcon,noIssue,QLD
Hasluck,18569,223,urn:lsid:biodiversity.org.au:afd.taxon:408040fe-b68a-47bd-a138-a7e36e105ec6,Smicrornis brevirostris,Animalia,Chordata,304,18569,0.016371372,2.816706755,Smicrornis brevirostris,"(Gould, 1838)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Acanthizidae,Smicrornis,Weebill,noIssue,WA
Hawke,31321,260,urn:lsid:biodiversity.org.au:afd.taxon:5d5c0a59-3720-4682-b54e-cf15acc9cdd4,Acanthiza chrysorrhoa,Animalia,Chordata,497,31321,0.015867948,2.602878467,Acanthiza (Geobasileus) chrysorrhoa,"(Quoy & Gaimard, 1830)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Yellow-rumped Thornbill,noIssue,VIC
Herbert,106689,561,urn:lsid:biodiversity.org.au:afd.taxon:37848309-72eb-4d28-aea3-686a939b19c8,Cacomantis variolosus,Animalia,Chordata,844,106689,0.007910844,5.746120519,Cacomantis (Cacomantis) variolosus,"(Vigors & Horsfield, 1827)",species,taxonIdMatch,Chordata,Aves,Cuculiformes,Cuculidae,Cacomantis,Brush Cuckoo,noIssue,QLD
